identifier,time,x,y
GK,1,-0.13,-0.05
GK,2,-0.3,-0.17
GK,3,-0.51,-0.37
GK,4,-0.83,-0.8
GK,5,-1.25,-1.43
GK,6,-1.66,-2.26
GK,7,-2.06,-3.19
GK,8,-2.44,-4.21
GK,9,-3.12,-6.06
GK,10,-4.06,-8.64
GK,11,-5.15,-11.88
GK,12,-6.44,-15.7
GK,13,-7.99,-20.04
GK,14,-9.49,-23.98
GK,15,-10.81,-27.5
GK,16,-12.06,-30.63
GK,17,-13.29,-33.4
GK,18,-14.45,-35.91
GK,19,-15.54,-38.09
GK,20,-16.95,-40.82
GK,21,-18.45,-44.15
GK,22,-20.22,-47.84
GK,23,-22.16,-50
GK,24,-23.89,-48.04
GK,25,-25.36,-46.35
GK,26,-26.65,-44.95
GK,27,-27.55,-43.66
GK,28,-28.23,-42.63
GK,29,-28.74,-41.7
GK,30,-29.1,-40.8
GK,31,-29.37,-39.97
GK,32,-29.35,-39.34
GK,33,-29.21,-38.84
GK,34,-29.0,-38.25
GK,35,-28.7,-37.84
GK,36,-28.33,-37.6
GK,37,-27.8,-37.45
GK,38,-26.44,-36.96
GK,39,-24.24,-36.31
GK,40,-21.35,-35.41
GK,41,-18.56,-34.49
GK,42,-15.94,-33.56
GK,43,-13.48,-32.71
GK,44,-11.24,-32.09
GK,45,-9.27,-31.5
GK,46,-7.53,-30.87
GK,47,-6.07,-30.28
GK,48,-4.87,-29.88
GK,49,-3.76,-29.63
GK,50,-2.63,-29.54
GK,51,-1.65,-29.47
GK,52,-0.64,-29.44
GK,53,0.22,-29.54
GK,54,0.99,-29.73
GK,55,1.6,-29.87
GK,56,2.23,-30.13
GK,57,2.73,-30.47
GK,58,3.17,-30.75
GK,59,3.64,-31.05
GK,60,4.1,-31.36
GK,61,4.56,-31.76
GK,62,4.88,-32.19
GK,63,5.28,-32.68
GK,64,5.6,-33.22
GK,65,5.99,-33.72
GK,66,6.35,-34.29
GK,67,6.66,-34.85
GK,68,6.79,-35.42
GK,69,7.02,-36.0
GK,70,7.3,-36.61
GK,71,7.45,-37.28
GK,72,7.61,-37.93
GK,73,7.69,-38.56
GK,74,7.72,-39.1
GK,75,7.83,-39.66
GK,76,7.98,-40.26
GK,77,8.04,-40.69
GK,78,8.17,-41.18
GK,79,8.5,-42.54
GK,80,8.95,-44.51
GK,81,9.43,-47.04
GK,82,9.86,-49.41
GK,83,10.15,-50
GK,84,10.27,-48.96
GK,85,10.25,-47.95
GK,86,10.31,-47.02
GK,87,10.35,-46.27
GK,88,10.36,-45.54
GK,89,10.42,-44.79
GK,90,10.37,-44.18
